CT00000001,202209649,P306,01/09/2022,31/08/2023,false
CT00000002,202222913,P107,01/09/2022,31/08/2023,false
CT00000003,202223513,P309,01/09/2022,31/08/2023,false
CT00000004,202224758,P105,01/09/2022,31/08/2023,false
CT00000005,202225348,P308,01/09/2022,31/08/2023,false
CT00000006,202231874,P109,01/09/2022,31/08/2023,false
CT00000007,202232303,P107,01/09/2022,31/08/2023,false
CT00000008,202239168,P311,01/09/2022,31/08/2023,false
CT00000009,202240459,P108,01/09/2022,31/08/2023,false
CT00000010,202241232,P204,01/09/2022,31/08/2023,false
CT00000011,202244549,P308,01/09/2022,31/08/2023,false
CT00000012,202247463,P306,01/09/2022,31/08/2023,false
CT00000013,202252081,P107,01/09/2022,31/08/2023,false
CT00000014,202265205,P201,01/09/2022,31/08/2023,false
CT00000015,202268583,P303,01/09/2022,31/08/2023,false
CT00000016,202270028,P306,01/09/2022,31/08/2023,false
CT00000017,202273751,P108,01/09/2022,31/08/2023,false
CT00000018,202278459,P305,01/09/2022,31/08/2023,false
CT00000019,202281971,P206,01/09/2022,31/08/2023,false
CT00000020,202287733,P308,01/09/2022,31/08/2023,false
CT00000021,202289450,P204,01/09/2022,31/08/2023,false
CT00000022,202292380,P108,01/09/2022,31/08/2023,false
CT00000023,202293420,P210,01/09/2022,31/08/2023,false
CT00000024,202296468,P107,01/09/2022,31/08/2023,false
CT00000025,202297818,P110,01/09/2022,31/08/2023,false
CT00000026,202209649,P306,01/09/2023,31/08/2024,false
CT00000027,202222913,P107,01/09/2023,31/08/2024,false
CT00000028,202223513,P309,01/09/2023,31/08/2024,false
CT00000029,202224758,P105,01/09/2023,31/08/2024,false
CT00000030,202225348,P308,01/09/2023,31/08/2024,false
CT00000031,202231874,P109,01/09/2023,31/08/2024,false
CT00000032,202232303,P107,01/09/2023,31/08/2024,false
CT00000033,202239168,P311,01/09/2023,31/08/2024,false
CT00000034,202240459,P108,01/09/2023,31/08/2024,false
CT00000035,202241232,P204,01/09/2023,31/08/2024,false
CT00000036,202244549,P308,01/09/2023,31/08/2024,false
CT00000037,202247463,P306,01/09/2023,31/08/2024,false
CT00000038,202252081,P107,01/09/2023,31/08/2024,false
CT00000039,202265205,P201,01/09/2023,31/08/2024,false
CT00000040,202268583,P303,01/09/2023,31/08/2024,false
CT00000041,202270028,P306,01/09/2023,31/08/2024,false
